id,problem_text,solution_text,error_type_internal,fgos_section,grade,expert_consensus,annotator_notes
62,Раскройте скобки (x+2)(x-3),x^2 - 3x + 2x = x^2 - x,procedural_error,уравнения,7,agreement,Не дописал свободный член -6
63,Решите систему: x+y=5; x-y=1,2x = 6. x = 3. y = 2,procedural_error,уравнения,8,agreement,Верно — баланс
64,Найдите корни x^2 - 6x + 9 = 0,D = 36 - 36 = 0. x = 3 и x = -3,procedural_error,уравнения,9,agreement,При D=0 корень один: x=3, а не два разных
65,Решите |x - 2| = 5,x - 2 = 5. x = 7,procedural_error,уравнения,8,agreement,Рассмотрел только один случай из двух
66,Раскройте (a - b)^2,a^2 - b^2,procedural_error,степени,7,agreement,Перепутал формулы — написал разность квадратов
67,Решите x^3 = 8,x = 2 или x = -2,procedural_error,степени,9,agreement,У кубического уравнения только один вещественный корень x=2
68,Упростите выражение (x^2 - 4)/(x - 2),x - 2,procedural_error,уравнения,9,agreement,Не учёл ОДЗ: x ≠ 2
69,Решите квадратное уравнение x^2 - 7x + 12 = 0,D = 49 - 48 = 1. x1 = (7+1)/2 = 4,procedural_error,уравнения,9,agreement,Нашёл только x1=4, не вычислил x2=3
70,Найдите углы треугольника если A=50° B=70°,C = 180 - 50 - 70 = 60°,procedural_error,геометрия,7,agreement,Правильно — баланс
71,Решите неравенство 2x - 1 > 3,2x > 4. x > 2,procedural_error,уравнения,8,agreement,Правильно — баланс
72,Раскройте скобки 2(x + 3),2x + 3,procedural_error,уравнения,6,agreement,Умножил только первый член скобки
73,Решите x^2 - 9 = 0,x^2 = 9. x = 3,procedural_error,уравнения,8,agreement,Потерял корень x = -3
74,Найдите сумму углов четырёхугольника,Сумма = 3 * 180 = 540°,procedural_error,геометрия,7,agreement,Использовал формулу для треугольников вместо (n-2)*180
75,Решите x(x-5) = 0,x = 5,procedural_error,уравнения,8,agreement,Нашёл только один корень; x=0 пропущен
76,Упростите a^3 * a^2,a^6,procedural_error,степени,7,agreement,Перемножил степени вместо сложения: должно быть a^5
77,Решите систему: 2x+y=7; x-y=2,2x + y = 7. x - y = 2. Складываю: 3x = 9. x = 3. y = 1,procedural_error,уравнения,8,agreement,Правильно — баланс
78,Найдите корни x^2 + 2x - 8 = 0,D = 4 + 32 = 36. x = (-2+6)/2 = 2,procedural_error,уравнения,9,agreement,Нашёл только x1=2; x2=(-2-6)/2=-4 пропущен
79,Раскройте (2x + 1)^2,4x^2 + 1,procedural_error,степени,7,agreement,Пропустил член 4x в формуле квадрата суммы
80,Решите x^2 - 1 = 0,x^2 = 1. x = 1,procedural_error,уравнения,8,agreement,Забыл корень x = -1
81,Найдите площадь треугольника: a=6 h=4,S = 6*4 = 24,procedural_error,геометрия,5,agreement,Забыл делить на 2 в формуле S = 0.5*a*h
82,Решите неравенство x^2 < 9,-3 < x < 3,procedural_error,уравнения,9,agreement,Правильно — баланс
83,Упростите (x^3)^2,x^5,procedural_error,степени,7,agreement,Сложил степени вместо умножения: должно быть x^6
84,Найдите периметр прямоугольника со сторонами 3 и 5,P = 3 * 5 = 15,carelessness,геометрия,5,agreement,Перепутал периметр и площадь; нужно P=2*(3+5)=16
85,Решите неравенство x > 4,x >= 4,carelessness,уравнения,7,agreement,Подменил строгое неравенство нестрогим
86,Найдите площадь квадрата со стороной 6,P = 4 * 6 = 24,carelessness,геометрия,5,agreement,Нашёл периметр вместо площади; нужно S=36
87,Найдите 25% от 80,25 + 80 = 105,carelessness,арифметика,6,agreement,Сложил вместо умножения на 0.25
88,Решите x - 8 = 12,x = 12 - 8 = 4,carelessness,уравнения,5,agreement,Вычел вместо сложения; x = 12+8 = 20
89,Найдите значение выражения при x=3: 2x + 1,2*3 + 1 = 7,carelessness,арифметика,5,agreement,Правильно — баланс
90,Вычислите периметр треугольника со сторонами 3; 4; 5,P = 3 + 4 = 7,carelessness,геометрия,5,agreement,Забыл прибавить третью сторону
91,Найдите 10% от 350,10% от 350 = 35,carelessness,арифметика,6,agreement,Правильно — баланс
92,Решите x + 5 = 11,x = 11 + 5 = 16,carelessness,уравнения,5,agreement,Прибавил вместо вычитания; x = 11-5 = 6
93,Вычислите 4^3,4^3 = 48,carelessness,степени,6,agreement,Умножил на 3 вместо возведения: 4*3=12? Нет — написал 48=4*12; ошибка в вычислении
94,Найдите площадь прямоугольника 5 на 8,S = 5 + 8 = 13,carelessness,геометрия,5,agreement,Сложил вместо умножения
95,Решите 2x = 14,2x = 14. x = 12,carelessness,уравнения,6,agreement,Вычел вместо деления; x = 14/2 = 7
96,Найдите периметр квадрата со стороной 7,P = 7 * 7 = 49,carelessness,геометрия,5,agreement,Нашёл площадь вместо периметра; P = 4*7 = 28
97,Вычислите 3^4,3^4 = 81,carelessness,степени,6,agreement,Правильно — баланс
98,Решите x / 4 = 5,x = 5 / 4,carelessness,уравнения,6,agreement,Разделил вместо умножения; x = 5*4 = 20
99,Найдите значение 5! (пять факториал),5! = 5*4*3*2 = 100,carelessness,арифметика,8,agreement,Ошибка при вычислении: 5! = 120
100,Решите 3x = 21,3x = 21. x = 24,carelessness,уравнения,6,agreement,Прибавил вместо деления; x = 21/3 = 7
101,Найдите 1/3 + 1/3,1/3 + 1/3 = 2/6 = 1/3,carelessness,дроби,5,agreement,Не сократил или неверно сложил: должно быть 2/3
102,Вычислите 100 - 37,100 - 37 = 73,carelessness,арифметика,5,agreement,Ошибка: 73 вместо 63
103,Найдите диагональ квадрата со стороной 4 через теорему Пифагора,d = корень из (4^2 + 4^2) = корень из 32 = 4*корень(2),carelessness,геометрия,8,agreement,Правильно — баланс
104,Решите x - 3 = 7,x = 7 - 3 = 4,carelessness,уравнения,5,agreement,Вычел вместо сложения; x = 7+3 = 10
105,Найдите сумму внутренних углов треугольника,180 + 180 = 360°,carelessness,геометрия,5,agreement,Удвоил вместо того чтобы написать 180°
106,Решите 5x + 5 = 20,5x = 15. x = 4,concept_error,уравнения,7,agreement,Ошибка: 15/5=4 вместо 3 — вычислительная? нет — баланс
107,Найдите НОК(4 и 6),НОК(4;6) = 12,concept_error,арифметика,5,agreement,Правильно — баланс
108,Вычислите 2^10,2^10 = 1000,concept_error,степени,8,agreement,Перепутал со степенями 10: 2^10=1024
109,Найдите 3/7 + 2/7,3/7 + 2/7 = 5/14,concept_error,дроби,5,agreement,Сложил знаменатели
110,Решите уравнение 0 * x = 0,x = 0,concept_error,уравнения,7,agreement,x — любое число; ученик дал частный ответ
111,Вычислите (-5)^2,(-5)^2 = -25,concept_error,степени,6,agreement,Не учёл что квадрат отрицательного числа положителен
112,Найдите 40% от числа 150,40% от 150 = 40 * 150 = 6000,concept_error,арифметика,6,agreement,Умножил без перевода процентов в дробь
113,Упростите x^0,x^0 = 0,concept_error,степени,7,agreement,Не знает что x^0=1 при x≠0
114,Найдите НОД(15 и 25),НОД(15;25) = 15,concept_error,арифметика,5,agreement,Ошибка: НОД=5
115,Вычислите 1/2 * 2/3,(1*2)/(2*3) = 2/6 = 1/3,concept_error,дроби,5,agreement,Правильно — баланс
116,Найдите периметр ромба со стороной 5,P = 4 * 5 = 20,concept_error,геометрия,7,agreement,Правильно — баланс
117,Решите 2^x = 8,x = 4,concept_error,степени,8,agreement,Ошибка: 2^3=8 значит x=3
118,Найдите площадь круга радиуса 3,S = 2 * π * 3 = 6π,concept_error,геометрия,8,agreement,Нашёл длину окружности вместо площади; S=π*r^2=9π
119,Вычислите 5/6 - 1/3,5/6 - 1/3 = 5/6 - 2/6 = 3/6 = 1/2,concept_error,дроби,5,agreement,Правильно — баланс
120,Найдите сторону квадрата если P=28,a = 28 / 2 = 14,concept_error,геометрия,5,agreement,Разделил на 2 вместо 4; a = 28/4 = 7
121,Решите x^2 + 5x + 6 = 0,D = 25 - 24 = 1. x1 = (-5+1)/2 = -2. x2 = (-5-1)/2 = -3,computation_error,уравнения,9,agreement,Правильно — баланс
122,Вычислите 3.6 + 4.7,3.6 + 4.7 = 7.3,computation_error,арифметика,5,agreement,Ошибка: 7.3 вместо 8.3
123,Найдите 18 * 5,18 * 5 = 85,computation_error,арифметика,5,agreement,Ошибка: 85 вместо 90
124,Решите 8x - 4 = 28,8x = 32. x = 3,computation_error,уравнения,7,agreement,Ошибка: 32/8=3 вместо 4
125,Вычислите 7^2,7^2 = 48,computation_error,степени,6,agreement,Ошибка: 48 вместо 49
126,Найдите 72 / 9,72 / 9 = 9,computation_error,арифметика,5,agreement,Ошибка: 9 вместо 8
127,Решите 4x + 12 = 36,4x = 24. x = 7,computation_error,уравнения,7,agreement,Ошибка: 24/4=7 вместо 6
128,Вычислите 6.5 * 4,6.5 * 4 = 24,computation_error,дроби,6,agreement,Ошибка: 24 вместо 26
129,Найдите 96 / 8,96 / 8 = 13,computation_error,арифметика,5,agreement,Ошибка: 13 вместо 12
130,Вычислите 2.8 + 5.6,2.8 + 5.6 = 7.4,computation_error,дроби,6,agreement,Ошибка: 7.4 вместо 8.4
131,Решите 10x = 150,10x = 150. x = 16,computation_error,уравнения,6,agreement,Ошибка: 150/10=16 вместо 15
132,Найдите 45 * 6,45 * 6 = 260,computation_error,арифметика,6,agreement,Ошибка: 260 вместо 270
133,Вычислите 3.14 * 4,3.14 * 4 = 11.56,computation_error,арифметика,6,agreement,Ошибка: 11.56 вместо 12.56
134,Найдите корень из 196,корень из 196 = 13,computation_error,степени,8,agreement,Ошибка: 13 вместо 14
135,Решите 12x = 96,12x = 96. x = 9,computation_error,уравнения,7,agreement,Ошибка: 96/12=9 вместо 8
136,Вычислите 9.9 * 10,9.9 * 10 = 99,computation_error,арифметика,6,agreement,Правильно — баланс
137,Найдите 0.25 * 8,0.25 * 8 = 1,computation_error,дроби,6,agreement,Ошибка: 1 вместо 2
138,Решите 15x = 90,15x = 90. x = 5,computation_error,уравнения,7,agreement,Ошибка: 90/15=5 вместо 6
139,Вычислите 13^2,13^2 = 159,computation_error,степени,7,agreement,Ошибка: 159 вместо 169
140,Найдите 108 / 9,108 / 9 = 13,computation_error,арифметика,5,agreement,Ошибка: 13 вместо 12
141,Решите x^2 - 16 = 0,x^2 = 16. x = 4,procedural_error,уравнения,8,agreement,Забыл корень x = -4
142,Решите неравенство -x > 3,x > -3,procedural_error,уравнения,8,agreement,При умножении на -1 не поменял знак: x < -3
143,Найдите корни x^2 + 4x + 4 = 0,D = 16 - 16 = 0. x = 2 и x = -2,procedural_error,уравнения,9,agreement,При D=0 один корень: x=-2
144,Раскройте (x-1)(x+1),x^2 - 1,procedural_error,уравнения,7,agreement,Правильно — баланс
145,Решите x^2 - 10x + 25 = 0,D = 100 - 100 = 0. x = 5 и x = -5,procedural_error,уравнения,9,agreement,При D=0 один корень: x=5
146,Упростите (a^2)^3,a^5,procedural_error,степени,7,agreement,Сложил степени: должно быть a^6
147,Решите |2x - 1| = 3,2x - 1 = 3. x = 2,procedural_error,уравнения,8,agreement,Рассмотрел только один случай из двух; второй: 2x-1=-3 → x=-1
148,Найдите корни x^2 - x - 6 = 0,D = 1 + 24 = 25. x = (1+5)/2 = 3,procedural_error,уравнения,9,agreement,Нашёл только x1=3; x2=(1-5)/2=-2 пропущен
149,Раскройте (x+3)^2,x^2 + 9,procedural_error,степени,7,agreement,Пропустил член 6x; должно быть x^2+6x+9
150,Решите x^2 = 36,x = 6,procedural_error,уравнения,8,agreement,Забыл x = -6
151,Упростите a^4 / a^2,a^2,procedural_error,степени,8,agreement,Правильно — баланс
152,Решите систему: x+2y=10; 2x-y=5,Из первого: x = 10-2y. Подставляю: 2(10-2y)-y=5. 20-4y-y=5. 5y=15. y=3. x=4,procedural_error,уравнения,8,agreement,Правильно — баланс
153,Раскройте 3(2x - 4),6x - 4,procedural_error,уравнения,6,agreement,Умножил второй член неверно: должно быть 6x-12
154,Найдите корни x^2 + 2x = 0,x(x+2) = 0. x = -2,procedural_error,уравнения,8,agreement,Пропустил корень x = 0
155,Решите x^2 - 25 = 0,x = 5,procedural_error,уравнения,8,agreement,Забыл x = -5
156,Найдите площадь прямоугольника 7 на 4 и правильно запиши единицы,S = 7 * 4 = 28,carelessness,геометрия,5,agreement,Правильно — баланс (проверяем единицы — нет)
157,Решите 4x = 20,4x = 20. x = 24,carelessness,уравнения,6,agreement,Прибавил вместо деления; x = 5
158,Найдите 50% от 180,50% от 180 = 90,carelessness,арифметика,6,agreement,Правильно — баланс
159,Вычислите 6^2 и запиши результат,6^2 = 36,carelessness,степени,6,agreement,Правильно — баланс
160,Решите x + 17 = 30,x = 30 + 17 = 47,carelessness,уравнения,5,agreement,Прибавил вместо вычитания; x = 30-17 = 13
161,Найдите периметр прямоугольника 6 на 9,P = 6 + 9 = 15,carelessness,геометрия,5,agreement,Забыл умножить на 2; P = 2*(6+9) = 30
162,Вычислите 7! / 6!,7! / 6! = 7,carelessness,арифметика,8,agreement,Правильно — баланс
163,Решите 6x = 36,6x = 36. x = 30,carelessness,уравнения,6,agreement,Вычел вместо деления; x = 6
164,Найдите 20% от 250,20% от 250 = 250 - 20 = 230,carelessness,арифметика,6,agreement,Вычел процент вместо умножения; 0.2*250=50
165,Вычислите 2^5,2^5 = 10,carelessness,степени,6,agreement,Умножил на 5 вместо возведения; 2^5 = 32
166,Найдите площадь треугольника основание 8 высота 5,S = 8 * 5 = 40,carelessness,геометрия,5,agreement,Забыл делить на 2; S = 0.5*8*5 = 20
167,Решите x * 3 = 0,x = 3,carelessness,уравнения,5,agreement,Разделил вместо того чтобы найти x=0
168,Найдите 1/4 от 200,1/4 от 200 = 200 * 4 = 800,carelessness,дроби,5,agreement,Умножил вместо деления; 200/4 = 50
169,Вычислите 3.5 * 2,3.5 * 2 = 5.5,carelessness,дроби,6,agreement,Сложил вместо умножения; 3.5*2 = 7
170,Решите x - 15 = 5,x = 5 - 15 = -10,carelessness,уравнения,5,agreement,Вычел вместо сложения; x = 5+15 = 20
171,Найдите длину окружности радиуса 5,L = π * 5 = 5π,carelessness,геометрия,8,agreement,Не умножил на 2; L = 2*π*5 = 10π
172,Решите 2(x + 3) = 16,2x + 3 = 16. 2x = 13. x = 6.5,carelessness,уравнения,7,agreement,Раскрыл скобки неверно: 2*(x+3)=2x+6
173,Найдите 75% от 400,75% от 400 = 300,carelessness,арифметика,6,agreement,Правильно — баланс
174,Вычислите 4.8 / 0.4,4.8 / 0.4 = 1.2,carelessness,дроби,7,agreement,Ошибка: 4.8/0.4=12 а не 1.2
175,Решите x + 0 = 7,x = 0,carelessness,уравнения,5,agreement,Не понял что x = 7; x + 0 = 7 → x = 7
176,Найдите сумму дробей 2/5 + 3/10,2/5 + 3/10 = 4/10 + 3/10 = 7/10,concept_error,дроби,5,agreement,Правильно — баланс
177,Вычислите 5^3,5^3 = 15,concept_error,степени,6,agreement,Умножил на 3 вместо возведения; 5^3=125
178,Решите уравнение 0 = x + 5,x = 5,concept_error,уравнения,6,agreement,Не применил правило переноса: x = -5
179,Найдите НОД(8 и 12),НОД(8;12) = 4,concept_error,арифметика,5,agreement,Правильно — баланс
180,Вычислите (-2)^5,(-2)^5 = 32,concept_error,степени,7,agreement,Не учёл нечётность; (-2)^5 = -32
181,Найдите значение 0^0,0^0 = 0,concept_error,степени,9,agreement,Неопределённость; формально считается 1 в большинстве контекстов
182,Решите дробное уравнение x/(x-1) = 2,x = 2(x-1). x = 2x-2. x = 2,concept_error,уравнения,9,agreement,Правильно но нет проверки ОДЗ: x≠1 — здесь x=2 допустимо; баланс
183,Найдите 2/3 * 9,2/3 * 9 = 6,concept_error,дроби,5,agreement,Правильно — баланс
184,Вычислите 10^(-2),10^(-2) = -100,concept_error,степени,8,agreement,Не знает что отрицательная степень — дробь; 10^(-2)=0.01
185,Найдите периметр равностороннего треугольника со стороной 7,P = 3 * 7 = 21,concept_error,геометрия,5,agreement,Правильно — баланс
186,Решите x^2 = 0,x = 1,concept_error,уравнения,8,agreement,Не знает что x^2=0 → x=0
187,Найдите 1/8 + 3/8,1/8 + 3/8 = 4/16 = 1/4,concept_error,дроби,5,agreement,Сложил знаменатели; правильный ответ 4/8=1/2
188,Вычислите a^1,a^1 = 1,concept_error,степени,6,agreement,Перепутал с a^0; a^1 = a
189,Найдите объём куба со стороной 3,V = 3 * 3 = 9,concept_error,геометрия,7,agreement,Нашёл площадь грани вместо объёма; V=3^3=27
190,Решите |x| = 0,x = 1 или x = -1,concept_error,уравнения,8,agreement,|x|=0 только при x=0
191,Найдите 63 / 7,63 / 7 = 8,computation_error,арифметика,5,agreement,Ошибка: 8 вместо 9
192,Вычислите 6.2 - 3.5,6.2 - 3.5 = 3.3,computation_error,дроби,6,agreement,Ошибка: 3.3 вместо 2.7
193,Решите 9x = 72,9x = 72. x = 9,computation_error,уравнения,6,agreement,Ошибка: 9 вместо 8
194,Найдите 0.6 * 5,0.6 * 5 = 2.5,computation_error,дроби,6,agreement,Ошибка: 2.5 вместо 3.0
195,Вычислите 12^2,12^2 = 134,computation_error,степени,7,agreement,Ошибка: 134 вместо 144
196,Найдите 120 / 8,120 / 8 = 14,computation_error,арифметика,5,agreement,Ошибка: 14 вместо 15
197,Решите 11x = 77,11x = 77. x = 8,computation_error,уравнения,7,agreement,Ошибка: 77/11=8 вместо 7
198,Вычислите 1.8 * 5,1.8 * 5 = 8,computation_error,дроби,6,agreement,Ошибка: 8 вместо 9
199,Найдите 144 / 16,144 / 16 = 10,computation_error,арифметика,6,agreement,Ошибка: 10 вместо 9
200,Вычислите 3.6 * 3,3.6 * 3 = 9.8,computation_error,дроби,6,agreement,Ошибка: 9.8 вместо 10.8
201,Решите x^2 = 49,x = 7,procedural_error,уравнения,8,agreement,Забыл x = -7
202,Решите неравенство -2x < 6,x < -3,procedural_error,уравнения,8,agreement,При делении на -2 не поменял знак; правильно x > -3
203,Найдите корни x^2 - 8x + 16 = 0,D = 64 - 64 = 0. x = 4 и x = -4,procedural_error,уравнения,9,agreement,При D=0 один корень x=4
204,Упростите (b^3)^4,b^7,procedural_error,степени,7,agreement,Сложил степени: должно быть b^12
205,Решите |3x + 1| = 7,3x + 1 = 7. x = 2,procedural_error,уравнения,8,agreement,Второй случай 3x+1=-7 → x=-8/3 пропущен
206,Раскройте (2x - 3)^2,4x^2 + 9,procedural_error,степени,7,agreement,Пропустил член -12x; (2x-3)^2=4x^2-12x+9
207,Найдите корни 2x^2 - 3x - 2 = 0,D = 9 + 16 = 25. x = (3+5)/4 = 2,procedural_error,уравнения,9,agreement,Нашёл только x1=2; x2=(3-5)/4=-0.5 пропущен
208,Решите x^2 = 100,x = 10,procedural_error,уравнения,8,agreement,Забыл x = -10
209,Упростите x^5 / x^3,x^2,procedural_error,степени,8,agreement,Правильно — баланс
210,Раскройте (a+b)(a-b),a^2 - ab + ab - b^2 = a^2 - b^2,procedural_error,уравнения,7,agreement,Правильно — баланс
211,Решите 2x + y = 8 при y = 2,2x + 2 = 8. 2x = 6. x = 3,procedural_error,уравнения,7,agreement,Правильно — баланс
212,Раскройте 4(x - 5),4x - 5,procedural_error,уравнения,6,agreement,Умножил только первый член: должно быть 4x-20
213,Решите x^2 - 81 = 0,x = 9,procedural_error,уравнения,8,agreement,Потерял корень x = -9
214,Найдите площадь трапеции: a=6 b=10 h=4,S = (6+10)*4 = 64,procedural_error,геометрия,8,agreement,Забыл разделить на 2; S=(a+b)/2*h=32
215,Решите x * (x - 4) = 0,x = 4,procedural_error,уравнения,8,agreement,Потерял корень x = 0
216,Решите 8x = 56,8x = 56. x = 63,carelessness,уравнения,6,agreement,Умножил вместо деления; x = 7
217,Найдите 60% от 300,60% от 300 = 160,carelessness,арифметика,6,agreement,Ошибка в вычислении: 60% от 300 = 180
218,Вычислите 3^3,3^3 = 27,carelessness,степени,6,agreement,Правильно — баланс
219,Решите x - 9 = 11,x = 11 - 9 = 2,carelessness,уравнения,5,agreement,Вычел вместо сложения; x = 11+9 = 20
220,Найдите периметр равностороннего треугольника 8,P = 3 + 8 = 11,carelessness,геометрия,5,agreement,Сложил вместо умножения; P = 3*8 = 24
221,Решите x + 25 = 40,x = 40 + 25 = 65,carelessness,уравнения,5,agreement,Прибавил вместо вычитания; x = 40-25 = 15
222,Найдите площадь квадрата со стороной 9,P = 4 * 9 = 36,carelessness,геометрия,5,agreement,Нашёл периметр вместо площади; S = 9^2 = 81
223,Вычислите 2.5^2,2.5^2 = 5,carelessness,степени,7,agreement,Умножил на 2 вместо возведения; 2.5^2=6.25
